 B-field(Tesla)    Berror(Tesla)      Current(Ampere)
 4.6854e-06        2.6588e-07         19.5570
 1.0741e-06        3.1657e-07          3.2404
 3.0522e-06        2.8669e-07         11.5493
 4.0823e-06        3.1082e-07         15.9832
 9.6163e-07        2.7737e-07          2.2935
 9.4390e-07        3.3732e-07          1.4649
 3.0312e-06        2.6897e-07         12.5639
 3.6490e-06        3.2785e-07         15.5516
 1.8114e-06        3.2030e-07          7.9975
 4.3505e-06        2.8898e-07         19.8715
 8.8668e-07        2.9575e-07          3.3026
 4.3682e-06        2.8198e-07         19.4008
 7.6122e-07        3.0447e-07          2.1634
 3.4773e-06        2.6617e-07         15.4844
 6.2086e-07        3.2052e-07          0.4549
 8.4484e-07        2.9471e-07          3.3969
 1.7314e-06        2.9693e-07          7.3401
 1.3964e-06        3.4275e-07          3.5950
 2.5455e-06        2.7905e-07          9.5077
 1.8823e-06        3.1932e-07          4.9069
 7.4259e-07        3.0849e-07          3.0507
 4.3504e-06        3.1728e-07         19.5009
 1.4063e-06        2.9628e-07          5.5278
 9.9298e-07        3.4065e-07          1.2652
 4.0281e-06        2.7143e-07         16.3132
 4.0728e-06        2.9250e-07         15.8905
 3.4121e-06        3.2479e-07         15.6794
 2.2570e-06        2.9240e-07         11.0789
 2.9707e-06        3.0250e-07         12.7071
 1.0104e-06        3.0953e-07          4.8287
 1.3367e-06        2.6868e-07          5.8635
 3.5718e-06        2.8856e-07         16.8058
 3.5291e-06        3.0902e-07         12.9038
 3.5481e-06        2.5404e-07         14.7964
 3.1673e-06        2.8797e-07         11.4202
 1.0027e-06        2.6129e-07          3.1749
 3.2220e-06        2.8760e-07         13.7868
 2.4527e-06        3.0826e-07         11.6365
 4.0125e-06        2.6912e-07         18.2514
 3.9545e-06        3.1752e-07         16.1688
 1.7391e-06        3.3421e-07          7.5299
 3.8448e-06        2.8306e-07         17.3304
 3.0907e-06        2.7030e-07         13.4659
 1.1282e-06        2.8101e-07          4.3185
 3.0646e-06        3.1335e-07         11.1465
 1.0493e-06        3.0080e-07          2.1779
 2.4260e-06        3.2284e-07         10.2467
 9.6391e-07        2.8867e-07          3.4886
 3.2153e-06        3.4258e-07         15.5324
 2.6616e-06        3.2970e-07          9.5831
 4.4636e-06        3.3240e-07         17.5949
 2.1539e-06        3.0428e-07          8.7241
 2.3038e-06        2.8280e-07          9.2842
 4.0406e-06        3.3987e-07         19.0649
 4.3691e-06        2.8870e-07         19.0981
 1.2687e-06        3.3148e-07          1.8344
 3.1508e-06        3.2131e-07         11.4970
 3.8280e-06        2.9756e-07         18.5473
 2.5072e-06        2.7626e-07         10.5620
 1.6033e-06        3.3685e-07          3.8452
 1.9607e-06        2.7065e-07          8.7377
 3.8018e-06        3.5428e-07         14.6457
 3.9547e-06        2.6957e-07         18.2961
 3.1438e-06        3.1666e-07         12.1923
 1.1290e-06        2.8469e-07          3.3600
 1.6945e-06        2.7637e-07          7.7007
 1.2489e-06        3.1440e-07          2.8781
 3.0126e-06        3.2469e-07         11.4503
 4.0779e-06        3.0308e-07         16.0255
 6.7069e-07        3.0637e-07          0.0511
 3.8802e-06        2.7147e-07         18.1628
 1.9600e-06        3.2414e-07          7.4752
 1.0547e-06        2.9698e-07          0.9874
 3.4452e-06        2.9370e-07         15.7649
 1.9892e-06        2.7572e-07          7.6769
 1.9155e-06        2.5860e-07          6.1828
 1.3057e-06        3.0425e-07          3.3624
 1.5022e-06        3.3258e-07          4.8140
 1.5661e-06        2.7976e-07          7.3426
 4.3698e-06        2.7801e-07         17.8908
 1.7773e-06        2.8861e-07          6.5548
 2.3766e-06        3.2440e-07         10.6606
 2.5597e-06        3.0378e-07          8.2081
 4.3375e-06        2.9171e-07         19.6529
 3.3469e-06        3.5380e-07         15.1905
 3.1175e-06        3.2049e-07         14.3077
 4.3553e-06        2.9424e-07         17.8823
 4.4891e-06        2.9211e-07         19.0300
 3.0493e-06        3.0760e-07         14.8066
 2.5026e-06        2.8281e-07          8.0315
 3.0463e-06        2.9788e-07         12.8073
 3.9079e-06        3.1855e-07         18.3016
 1.9139e-06        3.6374e-07          5.3376
 3.4036e-06        3.0875e-07         16.7971
 3.8734e-06        2.9721e-07         16.3787
 2.2786e-06        2.6944e-07          9.6967
 1.8329e-06        2.7213e-07          5.9983
 4.7163e-06        3.1772e-07         19.2297
 5.6223e-07        2.6596e-07          2.6785
 4.4010e-06        2.9045e-07         18.0079
 2.4544e-07        3.4678e-07          1.1785
 4.0559e-06        2.8218e-07         16.8237
 2.2869e-06        3.3128e-07          6.7075
 3.6748e-06        3.1092e-07         13.8020
 3.1537e-06        3.0636e-07         14.1414
 2.1065e-06        3.2638e-07          8.0271
 3.5726e-06        2.4449e-07         15.7616
 7.4635e-07        3.0447e-07          2.5091
 4.2697e-06        3.1060e-07         19.2319
 1.5130e-06        2.5200e-07          4.4323
 2.1075e-06        2.8543e-07          8.0607
 9.3552e-07        2.8631e-07          4.4632
 1.2439e-06        2.7504e-07          5.2074
 2.0184e-06        3.0007e-07          7.9506
 2.1587e-06        3.5634e-07          6.5248
 4.2480e-06        2.9459e-07         19.3985
 2.5012e-06        3.0662e-07         11.8906
 2.2865e-06        2.8016e-07          7.2854
 1.3436e-06        2.7056e-07          5.0357
 3.7220e-06        3.2869e-07         17.6837
 2.3151e-07        2.6796e-07          0.0136
 1.6631e-06        3.4863e-07          7.7007
 4.3683e-06        2.9427e-07         18.4420
 4.0645e-06        3.2631e-07         19.3314
 3.9809e-06        2.8574e-07         17.6292
 1.1384e-06        2.9768e-07          4.4358
 3.8501e-06        2.6409e-07         15.8052
 9.1363e-07        3.2801e-07          0.1696
 3.2474e-06        3.3250e-07         12.4295
 1.2470e-06        3.0313e-07          4.8188
 4.1137e-06        2.9585e-07         16.3811
 6.5764e-07        2.3416e-07          1.9812
 2.2782e-06        2.7698e-07         10.5224
 1.2686e-06        2.8449e-07          5.2111
 3.2417e-06        3.0470e-07         15.1512
 1.7960e-06        2.6374e-07          8.2543
 3.9860e-06        3.1502e-07         18.6384
 2.1752e-06        2.9951e-07          9.1142
 1.2270e-06        2.6621e-07          5.2721
 2.3214e-06        3.6029e-07          7.5476
 4.1069e-06        3.2009e-07         18.3192
 3.8548e-06        3.0101e-07         18.2789
 1.3822e-06        3.1096e-07          5.1245
 3.9916e-06        3.2186e-07         18.5429
 3.9844e-06        3.0699e-07         18.8165
 1.5372e-06        3.0061e-07          3.9369
 1.8680e-06        3.1527e-07          8.7303
 3.1912e-06        2.6875e-07         13.7573
 2.0782e-06        3.0325e-07          6.6822
 1.3971e-06        3.4266e-07          6.5012
 3.7375e-06        2.8448e-07         18.0666
 9.0143e-07        3.2694e-07          4.3546
 2.7730e-06        2.9808e-07         10.3258
 6.2938e-07        3.3209e-07          0.7255
 1.8811e-06        2.8792e-07          7.8273
 2.5542e-06        2.9778e-07          9.5058
 1.4675e-06        3.3411e-07          6.2637
 5.9042e-07        2.8242e-07          1.5625
 4.5269e-06        2.4364e-07         19.7286
 1.1144e-06        2.9223e-07          1.0182
 2.8697e-06        2.6371e-07         11.3034
 4.1508e-06        3.8922e-07         17.1007
 3.6240e-06        3.0113e-07         14.9644
 1.2591e-06        3.3294e-07          5.2885
 1.4740e-06        2.9503e-07          7.2504
 2.6817e-06        3.1387e-07         11.7207
 3.3223e-06        3.5343e-07         12.6317
 3.1435e-06        2.9797e-07         13.8353
 3.7815e-06        3.3027e-07         16.7288
 3.3762e-07        3.1296e-07          0.7871
 1.9440e-06        3.3361e-07          8.0457
 2.0060e-06        2.8605e-07          6.6546
 2.3381e-06        3.0935e-07         10.7695
 1.2803e-06        2.9433e-07          4.4515
 4.4534e-06        3.0174e-07         18.8091
 3.7954e-06        3.3710e-07         16.4125
 8.2813e-07        2.7829e-07          1.5581
 2.7119e-06        2.9502e-07          9.2380
 1.6026e-06        2.8027e-07          6.6579
 3.8396e-06        2.8720e-07         15.1658
 1.7978e-06        2.8398e-07          8.4361
 4.5741e-06        3.2179e-07         18.6260
 3.3814e-06        2.9106e-07         16.2689
 8.5524e-07        2.7818e-07          3.3031
 3.8713e-06        3.4485e-07         17.2630
 4.5231e-06        3.6481e-07         19.5127
 1.2916e-06        2.9695e-07          5.7412
 2.6076e-06        2.8803e-07         10.7719
 1.4295e-06        2.9033e-07          5.5586
 1.7567e-06        2.9287e-07          6.4482
 4.4342e-06        3.1583e-07         19.6082
 2.4480e-06        2.7946e-07         11.5783
 3.8035e-06        3.0040e-07         14.4989
 7.0359e-08        3.2160e-07          0.2089
 4.4893e-06        2.9649e-07         19.8624
 4.7893e-06        3.3195e-07         19.2515
 1.7561e-06        2.7582e-07          7.8179
 3.9837e-06        3.3383e-07         18.0164
 3.0616e-06        2.7068e-07         11.8755
 1.7907e-06        3.1143e-07          5.1435
 2.7716e-06        3.2934e-07         12.6294
 7.1381e-07        3.1821e-07          3.4454
 1.5596e-06        3.0112e-07          3.8144
 2.4246e-06        3.2417e-07         11.3295
 1.3405e-06        3.4209e-07          5.9049
 1.2662e-06        3.0344e-07          3.9644
 4.0696e-06        2.8099e-07         16.1894
 2.6035e-06        2.9670e-07         12.3780
 3.9745e-06        2.9189e-07         16.9443
 2.8805e-06        3.0026e-07         12.5746
 1.9009e-06        2.7992e-07          8.2411
 2.6286e-06        3.0339e-07         11.0738
 2.7317e-06        2.7192e-07         10.8214
 1.5538e-06        3.2204e-07          5.0887
 3.4284e-06        3.1601e-07         14.5450
 9.8960e-07        2.6289e-07          4.7323
 2.1327e-06        3.0313e-07          7.8968
 1.4571e-06        2.9257e-07          2.7302
 3.2917e-06        3.0505e-07         12.3949
 1.0136e-06        2.8884e-07          1.1577
 4.8323e-06        3.2788e-07         19.2614
 2.4245e-06        3.3538e-07          9.0735
 1.4043e-06        2.9087e-07          3.5404
 7.1555e-07        2.7028e-07          0.1544
 1.2749e-07        3.2747e-07          0.3488
 3.1069e-06        2.9813e-07         13.1098
 2.8155e-06        3.1151e-07         13.0863
 3.0131e-06        3.0890e-07         10.4203
 3.8090e-06        3.0796e-07         16.9848
 4.5156e-06        2.7700e-07         18.7454
 2.3796e-06        3.0241e-07          8.9242
 3.1459e-06        3.1279e-07         12.5056
 3.3432e-06        3.0004e-07         12.0270
 3.7066e-06        2.8860e-07         16.1442
 2.2043e-06        3.0825e-07         10.7862
 3.2770e-06        2.7029e-07         12.7008
 3.3684e-06        3.0145e-07         13.1978
 1.5176e-06        2.8704e-07          5.4229
 3.1091e-06        3.5837e-07         11.2617
 1.5003e-06        3.0253e-07          2.8682
 3.3480e-06        3.1091e-07         14.6536
 3.1708e-06        2.7474e-07         14.0736
 4.5820e-06        3.0128e-07         19.1570
 1.3395e-06        3.1459e-07          6.5476
 2.4671e-06        3.1131e-07          9.2349
 3.8219e-06        3.0081e-07         18.1559
 1.7491e-06        3.0015e-07          7.9964
 1.1684e-06        2.6918e-07          3.6768
 3.2928e-06        3.3453e-07         13.7249
 3.8033e-06        3.4695e-07         16.4863
 3.1708e-06        2.9246e-07         11.6703
 3.8302e-06        3.1348e-07         15.9106
 1.8999e-06        2.7826e-07          5.3087
 8.4989e-07        2.8663e-07          0.7025
 3.1271e-06        2.9168e-07         13.7100
 7.0730e-07        3.0160e-07          1.8725
 1.1933e-06        3.4115e-07          2.2597
 2.1332e-06        3.2786e-07          7.0895
 2.5135e-06        3.0628e-07         11.7988
 2.5456e-06        3.3871e-07          8.0782
 3.3748e-06        3.0385e-07         13.0600
 2.1034e-06        3.1886e-07          8.8774
 4.3841e-06        3.3082e-07         17.2436
 2.6970e-06        2.8370e-07         11.5639
 2.0315e-06        3.0317e-07          5.6273
 2.7686e-06        3.2151e-07         11.4248
 1.5592e-06        2.8442e-07          7.0011
 1.6090e-06        3.3399e-07          4.9588
 3.3207e-06        3.0034e-07         16.2214
 2.2108e-06        2.5453e-07          8.1536
 2.4834e-06        2.7446e-07         11.8684
 3.7600e-06        2.8282e-07         14.8474
 4.2293e-07        2.6192e-07          1.9573
 4.4260e-06        3.1655e-07         17.2761
 1.2041e-06        3.4507e-07          5.4594
 2.9057e-06        2.9497e-07         12.1834
 4.0484e-06        2.8771e-07         17.7530
 1.3929e-06        3.6040e-07          6.4469
 3.4680e-06        2.9594e-07         14.8432
 1.7124e-06        3.0648e-07          4.4956
 4.0445e-06        3.1241e-07         17.6684
 4.7064e-06        3.2859e-07         19.5316
 5.6481e-07        3.0742e-07          1.0936
 2.9747e-06        3.2652e-07         14.1576
 3.5538e-06        2.7873e-07         13.4681
 3.4706e-06        3.0304e-07         15.3355
 1.7631e-06        3.4376e-07          5.0597
 2.5801e-06        3.0386e-07         10.1892
 3.5186e-07        3.1173e-07          0.8987
 3.3342e-06        2.8081e-07         13.7727
 1.5421e-06        3.2689e-07          7.2996
 1.0457e-06        2.8769e-07          3.8398
 2.8639e-06        3.2390e-07         13.4967
 2.5685e-06        3.6684e-07         10.0810
 3.9405e-06        3.2531e-07         17.7519
 4.2205e-06        3.0060e-07         17.6392
 3.6184e-06        3.1202e-07         17.1510
 4.6915e-06        3.2145e-07         19.6532
 1.2789e-06        2.8517e-07          5.4689
 2.4360e-06        3.3893e-07          9.0568
 2.8814e-06        2.9155e-07         11.6631
 1.9736e-06        3.3986e-07          9.6323
 4.0224e-06        3.2388e-07         16.3033
 4.0240e-06        3.3261e-07         15.8606
 2.2400e-06        2.6212e-07         10.0010
 2.6444e-06        3.0542e-07         10.2252
 1.1511e-06        3.0272e-07          3.9060
 2.6995e-06        2.8835e-07          9.3790
 1.2864e-06        2.9985e-07          2.2814
 7.2958e-07        2.8185e-07          2.7598
 2.4809e-07        2.7182e-07          1.0008
 2.1245e-06        3.1272e-07          8.6953
 1.0545e-06        2.9704e-07          1.2408
 4.6183e-06        3.3444e-07         19.5500
 2.0267e-06        2.8867e-07          5.7337
 3.5104e-06        3.2973e-07         14.2252
 1.5084e-06        3.1247e-07          3.9719
 3.1013e-06        3.2297e-07         12.1416
 2.0932e-06        3.1150e-07          9.4311
 3.0065e-06        3.1639e-07         11.0606
 3.5284e-06        2.9342e-07         16.0798
 3.4499e-06        3.0660e-07         15.8554
 6.7684e-07        2.7936e-07          0.5192
 2.2640e-06        3.3810e-07         10.8153
 2.5958e-06        3.0668e-07         12.0978
 2.0485e-06        3.2963e-07          7.8351
 1.3841e-06        2.8628e-07          2.2957
 2.0614e-06        3.4367e-07          6.1189
 3.0131e-06        3.0864e-07         12.4934
 2.0396e-06        3.4621e-07          9.7008
 3.5042e-06        3.1399e-07         13.5780
 1.0779e-06        3.0818e-07          3.7996
 3.7958e-06        3.2157e-07         16.3735
 2.5712e-06        2.6206e-07          8.9034
 1.3714e-07        3.6684e-07          0.5968
 1.4133e-06        2.8446e-07          3.0851
 4.1564e-06        2.7329e-07         16.2983
 2.9260e-06        3.1359e-07         13.7124
 1.1640e-06        2.9308e-07          1.3264
 2.0647e-06        2.7243e-07          6.4948
 9.7208e-07        3.2341e-07          0.4661
 3.7493e-06        3.1878e-07         16.6371
 1.4717e-06        2.9988e-07          2.6974
 3.1486e-06        2.7458e-07         12.6729
 2.5638e-06        2.7722e-07         10.3028
 2.6947e-06        3.6046e-07         12.6704
 3.6175e-06        3.2795e-07         15.5792
 3.2042e-06        2.7939e-07         11.5265
 1.7950e-06        2.9280e-07          5.8157
 2.9763e-06        3.3418e-07         11.5365
 3.2450e-06        2.9430e-07         13.1592
 3.4870e-06        2.8485e-07         15.1321
 1.5237e-06        3.2162e-07          3.7769
 4.0567e-06        2.5788e-07         16.0973
 1.1553e-06        2.7938e-07          3.8058
 9.7115e-07        3.0392e-07          4.6359
 3.8164e-06        2.9602e-07         14.3136
 7.8118e-07        2.6518e-07          0.9156
 2.3993e-06        2.6386e-07          9.7236
 5.2664e-07        2.7838e-07          0.3880
 3.4273e-06        2.8314e-07         13.5310
 1.4310e-06        3.0574e-07          5.4546
 1.7509e-06        2.8703e-07          6.2119
 4.2500e-07        2.9977e-07          0.6944
 3.5134e-06        2.9123e-07         16.8594
 2.5212e-06        3.3452e-07         11.5462
 2.1675e-06        3.0810e-07         10.6799
