    Turn#  VBS        VBS_Error
  932.0    20.0049    3.0886
  933.0    19.6612    2.7221
  934.0    23.0813    3.9044
  935.0    21.3628    3.0437
  936.0    23.5554    2.7695
  937.0    19.2466    3.0355
  938.0    22.4903    2.9363
  939.0    21.3731    2.9374
  940.0    20.5575    1.7637
  941.0    23.4918    3.6291
  942.0    17.3495    1.4532
  943.0    24.1421    3.0369
  944.0    22.3347    3.3706
  945.0    21.0341    3.7335
  946.0    21.1900    1.9344
  947.0    21.6992    2.7873
  948.0    20.4848    3.1372
  949.0    20.8580    2.6514
  950.0    18.5714    2.3286
  951.0    22.7426    3.0587
  952.0    21.1330    3.6468
  953.0    17.1099    2.2908
  954.0    19.5593    3.4316
  955.0    17.8277    2.5303
  956.0    21.3354    3.1964
  957.0    21.3928    3.4328
  958.0    22.6113    1.9145
  959.0    20.3617    3.2302
  960.0    15.7465    3.0583
  961.0    22.6686    2.0495
  962.0    20.1057    2.6400
  963.0    21.7674    2.2986
  964.0    17.1737    3.8092
  965.0    21.2056    3.8562
  966.0    22.1677    3.3846
  967.0    20.3003    2.1739
  968.0    19.9830    3.1289
  969.0    21.2666    2.4298
  970.0    20.2283    4.0738
  971.0    18.6214    3.0663
  972.0    20.4440    2.4265
  973.0    20.9053    3.1322
  974.0    14.0573    4.3849
  975.0    23.4382    3.7568
  976.0    22.1439    2.7861
  977.0    17.0021    2.7064
  978.0    21.2564    4.1942
  979.0    17.4949    4.1673
  980.0    17.3693    3.5023
  981.0    19.8183    1.7800
  982.0    26.2491    2.2459
  983.0    18.2315    2.7182
  984.0    19.0615    3.1330
  985.0    20.8232    4.3075
  986.0    23.5544    3.6020
  987.0    18.3565    3.6714
  988.0    19.5028    2.8196
  989.0    21.3647    2.2529
  990.0    13.9873    2.7415
  991.0    17.8916    3.5333
  992.0    19.3436    3.8997
  993.0    18.6880    3.3914
  994.0    21.2259    3.2451
  995.0    17.5768    3.0376
  996.0    19.6836    2.6393
  997.0    19.2371    2.6980
  998.0    19.2243    2.4615
  999.0    16.9499    2.5966
 1000.0    19.2771    3.6253
